Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Produtor,Genero,Jogo
Grand Theft Auto V,2014.0,Action,Rockstar Games,6.06,9.71,0.6,3.02,19.39,107,0,273
Call of Duty: Black Ops 3,2015.0,Shooter,Activision,6.18,6.05,0.41,2.44,15.09,8,12,98
Red Dead Redemption 2,2018.0,Action-Adventure,Rockstar Games,5.26,6.21,0.21,2.26,13.94,107,1,521
Call of Duty: WWII,2017.0,Shooter,Activision,4.67,6.21,0.4,2.12,13.4,8,12,102
FIFA 18,2017.0,Sports,EA Sports,1.27,8.64,0.15,1.73,11.8,40,14,222
FIFA 17,2016.0,Sports,Electronic Arts,1.26,7.95,0.12,1.61,10.94,41,14,221
Uncharted (PS4),2016.0,Action,Sony Interactive Entertainment,4.49,3.93,0.21,1.7,10.33,113,0,730
Spider-Man (PS4),2018.0,Action-Adventure,Sony Interactive Entertainment,3.64,3.39,0.32,1.41,8.76,113,1,601
Call of Duty: Infinite Warfare,2016.0,Shooter,Activision,3.11,3.83,0.19,1.36,8.48,8,12,100
Fallout 4,2015.0,Role-Playing,Bethesda Softworks,2.91,3.97,0.27,1.34,8.48,19,11,226
FIFA 16,2015.0,Sports,EA Sports,1.15,5.77,0.07,1.23,8.22,40,14,220
Star Wars Battlefront 2015,2015.0,Shooter,Electronic Arts,3.31,3.19,0.23,1.3,8.03,41,12,605
Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,2.84,3.34,0.14,1.22,7.53,8,12,97
Battlefield 1,2016.0,Shooter,Electronic Arts,2.2,3.65,0.29,1.12,7.26,41,12,63
The Last of Us,2014.0,Action-Adventure,Sony Computer Entertainment,2.7,2.86,0.11,1.1,6.77,112,1,669
MineCraft,2014.0,Misc,Sony Computer Entertainment,1.89,3.13,0.35,0.96,6.33,112,5,398
FIFA 15,2014.0,Sports,EA Sports,0.83,4.49,0.05,0.94,6.32,40,14,219
God of War (PS4),2018.0,Action,Sony Interactive Entertainment,2.83,2.17,0.13,1.02,6.15,113,0,265
Horizon: Zero Dawn,2017.0,Action,Sony Interactive Entertainment,2.2,2.43,0.28,0.92,5.82,113,0,295
Destiny,2014.0,Shooter,Activision,2.53,2.13,0.16,0.94,5.76,8,12,152
Uncharted: The Nathan Drake Collection,2015.0,Action,Sony Computer Entertainment,2.55,2.11,0.1,0.94,5.7,112,0,735
The Witcher 3: Wild Hunt,2015.0,Role-Playing,Namco Bandai Games,1.48,2.82,0.28,0.81,5.39,86,11,692
Final Fantasy XV,2016.0,Role-Playing,Square Enix,1.81,1.53,1.05,0.68,5.07,117,11,242
Crash Bandicoot N. Sane Trilogy,2017.0,Platform,Activision,1.09,2.92,0.07,0.74,4.83,8,8,118
Monster Hunter: World,2018.0,Action,Capcom,1.03,1.06,2.17,0.42,4.67,25,0,405
Overwatch,2016.0,Shooter,Blizzard Entertainment,1.84,1.8,0.17,0.73,4.54,23,12,468
Star Wars Battlefront II (2017),2017.0,Shooter,Electronic Arts,1.7,1.99,0.12,0.73,4.53,41,12,606
Tom Clancy's The Division,2016.0,Shooter,Ubisoft,1.49,2.04,0.16,0.69,4.37,140,12,704
Tom Clancy's Rainbow Six: Siege,2015.0,Shooter,Ubisoft,1.29,2.06,0.36,0.64,4.36,140,12,703
Watch Dogs,2014.0,Action-Adventure,Ubisoft,1.4,2.13,0.11,0.68,4.32,140,1,761
Call of Duty: Ghosts,2013.0,Shooter,Activision,1.79,1.64,0.05,0.69,4.17,8,12,99
Assassin's Creed: Unity,2014.0,Action,Ubisoft,1.25,2.16,0.09,0.65,4.14,140,0,38
Destiny 2,2017.0,Shooter,Activision,1.92,1.44,0.1,0.69,4.14,8,12,153
Batman: Arkham Knight,2015.0,Action,Warner Bros. Interactive,1.65,1.68,0.11,0.66,4.11,144,0,55
Assassin's Creed Origins,2017.0,Action,Ubisoft,1.22,2.11,0.11,0.63,4.06,140,0,35
Far Cry 4,2014.0,Shooter,Ubisoft,1.18,2.14,0.11,0.63,4.06,140,12,227
NBA 2K16,2015.0,Sports,2K Sports,2.56,0.66,0.05,0.71,3.98,1,14,420
Far Cry 5,2018.0,Action,Ubisoft,1.44,1.73,0.15,0.62,3.95,140,0,228
Battlefield 4,2013.0,Shooter,Electronic Arts,1.4,1.74,0.19,0.62,3.94,41,12,64
Gran Turismo Sport,2017.0,Racing,Sony Interactive Entertainment,0.63,2.35,0.24,0.54,3.77,113,10,270
Assassin's Creed Syndicate,2015.0,Action,Ubisoft,0.9,2.06,0.08,0.55,3.6,140,0,36
NBA 2K17,2016.0,Sports,2K Sports,2.28,0.59,0.03,0.63,3.52,1,14,421
Mortal Kombat X,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.94,0.94,0.0,0.61,3.49,145,3,408
FIFA Soccer 14,2013.0,Sports,EA Sports,0.62,2.18,0.12,0.51,3.43,40,14,223
The Elder Scrolls V: Skyrim,2016.0,Role-Playing,Bethesda Softworks,1.24,1.5,0.08,0.54,3.36,19,11,652
Watch Dogs 2,2016.0,Action,Ubisoft,0.98,1.74,0.12,0.52,3.36,140,0,762
NBA 2K18,2017.0,Sports,2K Sports,2.13,0.57,0.04,0.59,3.34,1,14,422
Resident Evil VII: Biohazard,2017.0,Action,Capcom,0.88,1.56,0.41,0.46,3.31,25,0,529
Madden NFL 16,2015.0,Sports,EA Sports,2.39,0.31,0.0,0.61,3.3,40,14,377
Madden NFL 17,2016.0,Sports,EA Sports,2.3,0.37,0.0,0.6,3.28,40,14,378
Middle-Earth: Shadow of Mordor,2014.0,Action,Warner Bros. Interactive Entertainment,1.03,1.6,0.05,0.51,3.19,145,0,395
Assassin's Creed IV: Black Flag,2013.0,Action-Adventure,Ubisoft,1.07,1.55,0.06,0.51,3.19,140,1,34
Tom Clancy's Ghost Recon Wildlands,2017.0,Shooter,Ubisoft,1.07,1.35,0.22,0.47,3.12,140,12,702
Bloodborne,2015.0,Role-Playing,Sony Computer Entertainment,1.3,1.05,0.28,0.48,3.11,112,11,84
Metal Gear Solid V: The Phantom Pain,2015.0,Action,Konami Digital Entertainment,0.97,1.15,0.5,0.42,3.04,70,0,391
Killzone: Shadow Fall,2013.0,Shooter,Sony Computer Entertainment,0.89,1.58,0.08,0.47,3.02,112,12,323
inFAMOUS: Second Son,2014.0,Action-Adventure,Sony Computer Entertainment,1.35,1.09,0.07,0.5,3.01,112,1,803
Doom (2016),2016.0,Shooter,Bethesda Softworks,0.93,1.48,0.04,0.46,2.92,19,12,178
Mafia III,2016.0,Action-Adventure,2K Games,0.72,1.67,0.04,0.44,2.87,0,1,381
Diablo III,2014.0,Role-Playing,Blizzard Entertainment,0.83,1.48,0.08,0.44,2.82,23,11,161
Far Cry: Primal,2016.0,Action-Adventure,Ubisoft,0.63,1.61,0.07,0.41,2.73,140,1,229
Need for Speed (2015),2015.0,Racing,Electronic Arts,0.59,1.66,0.06,0.41,2.72,41,10,437
Madden NFL 18,2017.0,Sports,EA Sports,1.73,0.42,0.0,0.47,2.62,40,14,379
NBA 2K15,2014.0,Sports,2K Sports,1.49,0.55,0.01,0.44,2.49,1,14,419
Dying Light,2015.0,Action,Warner Bros. Interactive,1.18,0.74,0.13,0.4,2.45,144,0,196
Dark Souls III,2016.0,Role-Playing,Namco Bandai Games,1.0,0.63,0.44,0.34,2.42,86,11,130
Ratchet & Clank (2016),2016.0,Platform,Sony Interactive Entertainment,0.97,0.97,0.06,0.39,2.38,113,8,515
DriveClub,2014.0,Racing,Sony Computer Entertainment,0.37,1.63,0.02,0.36,2.37,112,10,191
Uncharted: The Lost Legacy,2017.0,Action,Sony Interactive Entertainment,0.58,1.38,0.04,0.36,2.37,113,0,734
Dragon Age III: Inquisition,2014.0,Role-Playing,Electronic Arts,1.07,0.8,0.08,0.38,2.34,41,11,179
No Man's Sky,2016.0,Action-Adventure,Hello Games,0.89,0.97,0.04,0.37,2.26,61,1,449
Madden NFL 15,2014.0,Sports,EA Sports,1.58,0.25,0.0,0.41,2.25,40,14,376
Need for Speed: Payback,2017.0,Racing,Electronic Arts,0.62,1.18,0.04,0.34,2.18,41,10,439
Destiny: The Taken King,2015.0,Shooter,Activision,0.97,0.8,0.05,0.36,2.18,8,12,155
Need for Speed Rivals,2013.0,Racing,Electronic Arts,0.75,1.04,0.03,0.35,2.17,41,10,438
PlayStation VR Worlds,2016.0,Misc,Sony Interactive Entertainment,0.36,1.4,0.09,0.32,2.16,113,5,482
Battlefield: Hardline,2015.0,Shooter,Electronic Arts,0.72,0.97,0.14,0.33,2.15,41,12,65
Rise of the Tomb Raider,2016.0,Adventure,Square Enix,0.61,1.08,0.05,0.32,2.07,117,2,539
LittleBigPlanet 3,2014.0,Platform,Sony Computer Entertainment,0.78,0.93,0.01,0.34,2.06,112,8,358
The Elder Scrolls Online,2015.0,MMO,Bethesda Softworks,0.74,0.98,0.0,0.33,2.05,19,4,650
Middle-Earth: Shadow of War,2017.0,Action,Warner Bros. Interactive Entertainment,0.82,0.84,0.06,0.33,2.04,145,0,396
Dragon Quest XI,2017.0,Role-Playing,Square Enix,0.29,0.22,1.43,0.1,2.04,117,11,187
Rocket League,2016.0,Sports,505 Games,0.37,1.34,0.0,0.31,2.02,3,14,545
Just Cause 3,2015.0,Action-Adventure,Square Enix,0.53,1.07,0.09,0.3,1.98,117,1,313
Dishonored 2,2016.0,Action,Bethesda Softworks,0.62,1.02,0.01,0.31,1.97,19,0,168
Lego Marvel Super Heroes,2013.0,Action,Warner Bros. Interactive Entertainment,0.59,1.0,0.01,0.3,1.91,145,0,351
Until Dawn,2015.0,Adventure,Sony Computer Entertainment,0.62,0.92,0.06,0.3,1.9,112,2,737
Knack,2013.0,Platform,Sony Computer Entertainment,0.45,0.77,0.42,0.23,1.88,112,8,330
The Evil Within,2014.0,Action,Bethesda Softworks,0.56,0.9,0.11,0.28,1.86,19,0,656
The Crew,2014.0,Racing,Ubisoft,0.44,1.04,0.03,0.27,1.79,140,10,646
Kingdom Hearts 1.5 + 2.5 Remix,2017.0,Role-Playing,Square Enix,0.75,0.51,0.23,0.26,1.75,117,11,326
For Honor,2017.0,Action,Ubisoft,0.73,0.66,0.07,0.28,1.75,140,0,244
Titanfall 2,2016.0,Shooter,Electronic Arts,0.75,0.62,0.06,0.28,1.72,41,12,698
Injustice 2,2017.0,Fighting,Warner Bros. Interactive Entertainment,0.88,0.54,0.0,0.29,1.72,145,3,305
NieR Automata,2017.0,Role-Playing,Square Enix,0.56,0.51,0.42,0.22,1.71,117,11,444
Tekken 7,2017.0,Fighting,Namco Bandai Games,0.6,0.72,0.12,0.26,1.7,86,3,637
Persona 5,2016.0,Role-Playing,Deep Silver,0.62,0.34,0.48,0.2,1.64,35,11,475
The Order: 1886,2015.0,Shooter,Sony Computer Entertainment,0.44,0.86,0.07,0.25,1.62,112,12,675
Wolfenstein: The New Order,2014.0,Shooter,Bethesda Softworks,0.48,0.84,0.03,0.25,1.61,19,12,773
Detroit: Become Human,2018.0,Adventure,Sony Interactive Entertainment,0.55,0.67,0.12,0.24,1.57,113,2,156
Naruto Shippuden: Ultimate Ninja Storm 4,2016.0,Fighting,Namco Bandai Games,0.71,0.47,0.12,0.24,1.54,86,3,432
NBA 2K14,2013.0,Sports,2K Sports,0.91,0.35,0.01,0.27,1.54,1,14,418
Tomb Raider (2013),2014.0,Action-Adventure,Square Enix,0.47,0.74,0.06,0.23,1.51,117,1,705
Dragon Ball: Xenoverse 2,2016.0,Action,Namco Bandai Games,0.54,0.59,0.14,0.23,1.5,86,0,182
Rayman Legends,2014.0,Platform,Ubisoft,0.22,1.05,0.0,0.23,1.5,140,8,517
Mass Effect: Andromeda,2017.0,Role-Playing,Electronic Arts,0.58,0.67,0.0,0.25,1.49,41,11,386
Dragon Ball Fighter Z,2018.0,Fighting,Namco Bandai Games,0.61,0.51,0.12,0.23,1.46,86,3,180
South Park: The Fractured But Whole,2017.0,Role-Playing,Ubisoft,0.62,0.57,0.0,0.24,1.43,140,11,599
The Sims 4,2017.0,Simulation,Electronic Arts,0.44,0.72,0.01,0.22,1.39,41,13,680
Street Fighter V,2016.0,Fighting,Capcom,0.64,0.42,0.12,0.22,1.39,25,3,612
Wolfenstein II: The New Colossus,2017.0,Shooter,Bethesda Softworks,0.55,0.58,0.01,0.22,1.36,19,12,771
WWE 2K18,2017.0,Sports,2K Sports,0.45,0.67,0.0,0.22,1.33,1,14,755
Lego Star Wars: The Force Awakens,2016.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.3,0.78,0.02,0.2,1.31,145,1,352
EA Sports UFC 2,2016.0,Sports,EA Sports,0.44,0.65,0.0,0.21,1.31,40,14,202
The Last Guardian,2016.0,Action-Adventure,Sony Interactive Entertainment,0.4,0.58,0.13,0.19,1.29,113,1,668
WWE 2K16,2015.0,Sports,Take-Two Interactive,0.43,0.65,0.0,0.21,1.29,122,14,753
Borderlands: The Handsome Collection,2015.0,Shooter,2K Games,0.69,0.34,0.03,0.22,1.28,0,12,89
Project CARS,2015.0,Racing,Bandai Namco Games,0.29,0.76,0.04,0.19,1.28,18,10,493
WWE 2K17,2016.0,Sports,2K Games,0.32,0.7,0.0,0.19,1.22,0,14,754
Guitar Hero Live,2015.0,Music,Activision,0.52,0.49,0.0,0.2,1.21,8,6,279
Metal Gear Solid: Ground Zeroes,2014.0,Action-Adventure,Konami Digital Entertainment,0.36,0.5,0.17,0.17,1.2,70,1,392
Mad Max (2013),2015.0,Action,Warner Bros. Interactive Entertainment,0.38,0.59,0.05,0.19,1.2,145,0,375
Shadow of the Colossus,2018.0,Action-Adventure,Sony Interactive Entertainment,0.44,0.52,0.05,0.19,1.2,113,1,576
Kingdom Hearts HD 2.8 Final Chapter Prologue,2017.0,Role-Playing,Square Enix,0.57,0.25,0.2,0.17,1.2,117,11,327
Dragon Ball: XenoVerse,2015.0,Fighting,Namco Bandai Games,0.33,0.55,0.14,0.17,1.19,86,3,181
LEGO Dimensions,2015.0,Action,Warner Bros. Interactive Entertainment,0.48,0.5,0.0,0.2,1.18,145,0,339
LEGO Jurassic World,2015.0,Action,Warner Bros. Interactive Entertainment,0.41,0.56,0.02,0.19,1.18,145,0,341
WWE 2K15,2014.0,Sports,2K Sports,0.4,0.57,0.0,0.19,1.16,1,14,752
MLB The Show 17,2017.0,Sports,Sony Interactive Entertainment,0.94,0.0,0.0,0.22,1.16,113,14,369
LEGO Worlds,2017.0,Misc,Warner Bros. Interactive Entertainment,0.21,0.72,0.04,0.17,1.14,145,5,345
The Elder Scrolls V: Skyrim PSVR,2017.0,Role-Playing,Bethesda Softworks,0.47,0.47,0.01,0.19,1.13,19,11,653
LEGO Marvel Super Heroes 2,2017.0,Action,Warner Bros. Interactive Entertainment,0.33,0.6,0.0,0.18,1.11,145,0,342
EA Sports UFC,2014.0,Fighting,Electronic Arts,0.49,0.43,0.01,0.18,1.11,41,3,201
Final Fantasy XII: The Zodiac Age,2017.0,Role-Playing,Square Enix,0.37,0.41,0.16,0.15,1.1,117,11,237
Alien: Isolation,2014.0,Adventure,Sega,0.29,0.59,0.05,0.16,1.09,108,2,21
MLB The Show 18,2018.0,Sports,Sony Interactive Entertainment,0.86,0.0,0.0,0.2,1.06,113,14,370
The Evil Within II,2017.0,Action,Bethesda Softworks,0.31,0.49,0.09,0.15,1.05,19,0,657
Prey (2017),2017.0,Shooter,Bethesda Softworks,0.25,0.62,0.02,0.16,1.04,19,12,484
Final Fantasy Type-0,2015.0,Role-Playing,Square Enix,0.4,0.33,0.16,0.15,1.04,117,11,235
Ni-Oh,2017.0,Action,Tecmo Koei,0.34,0.36,0.2,0.14,1.03,129,0,443
MLB 15: The Show,2015.0,Sports,Sony Computer Entertainment,0.75,0.08,0.0,0.19,1.01,112,14,367
Steep,2016.0,Sports,Ubisoft,0.23,0.6,0.02,0.15,1.01,140,14,610
LEGO Marvel's Avengers,2016.0,Action,Warner Bros. Interactive Entertainment,0.31,0.53,0.01,0.16,1.01,145,0,343
Evolve,2015.0,Shooter,2K Games,0.38,0.41,0.05,0.16,1.01,0,12,213
Injustice: Gods Among Us,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.46,0.35,0.0,0.17,0.98,145,3,306
EA Sports UFC 3,2018.0,Sports,EA Sports,0.4,0.41,0.01,0.16,0.97,40,14,203
Madden NFL 25,2013.0,Sports,EA Sports,0.64,0.15,0.0,0.17,0.96,40,14,380
MLB 16: The Show,2016.0,Sports,Sony Computer Entertainment,0.78,0.0,0.0,0.18,0.96,112,14,368
Lego Batman 3: Beyond Gotham,2014.0,Action,Warner Bros. Interactive Entertainment,0.37,0.42,0.0,0.16,0.94,145,0,350
Final Fantasy X/X-2 HD Remaster,2015.0,Role-Playing,Square Enix,0.34,0.36,0.07,0.14,0.9,117,11,236
Ni no Kuni II: Revenant Kingdom,2018.0,Role-Playing,Namco Bandai Games,0.33,0.31,0.12,0.13,0.89,86,11,442
God of War III,2015.0,Action,Sony Computer Entertainment,0.4,0.33,0.02,0.15,0.89,112,0,266
Fortnite,2017.0,Action,Gearbox Software,0.42,0.32,0.0,0.15,0.89,55,0,245
LEGO Harry Potter Collection,2016.0,Action,Warner Bros. Interactive Entertainment,0.07,0.68,0.0,0.13,0.88,145,0,340
Minecraft: Story Mode,2015.0,Adventure,Mojang,0.31,0.42,0.0,0.14,0.87,84,2,399
BioShock The Collection,2016.0,Shooter,2K Games,0.41,0.28,0.03,0.14,0.86,0,12,71
Thief 4,2014.0,Action,Square Enix,0.28,0.41,0.03,0.13,0.85,117,0,695
Until Dawn: Rush of Blood,2016.0,Shooter,Sony Interactive Entertainment,0.5,0.21,0.0,0.15,0.85,113,12,738
Disney Infinity 3.0,2015.0,Action,Disney Interactive Studios,0.31,0.4,0.0,0.14,0.85,37,0,171
Farming Simulator 17,2016.0,Simulation,Focus Home Interactive,0.19,0.52,0.01,0.13,0.85,45,13,231
The Crew 2,2018.0,Racing,Ubisoft,0.22,0.42,0.05,0.12,0.82,140,10,647
Pro Evolution Soccer 2016,2015.0,Sports,Konami Digital Entertainment,0.14,0.43,0.14,0.1,0.82,70,14,488
ARK: Survival Evolved,2017.0,Action,Studio Wildcard,0.28,0.29,0.14,0.11,0.81,119,0,4
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,2015.0,Action,Square Enix,0.21,0.14,0.39,0.07,0.81,117,0,185
Assassin's Creed The Ezio Collection,2016.0,Action,Ubisoft,0.14,0.52,0.02,0.12,0.79,140,0,37
Final Fantasy XIV: A Realm Reborn,2014.0,MMO,Square Enix,0.35,0.23,0.08,0.12,0.79,117,4,239
Destiny: The Collection,2016.0,Shooter,Activision,0.24,0.4,0.02,0.12,0.78,8,12,154
F1 2016 (Codemasters),2016.0,Racing,Codemasters,0.07,0.56,0.03,0.11,0.78,27,10,217
Hitman (2016),2017.0,Action,Square Enix,0.24,0.36,0.06,0.11,0.78,117,0,292
Pro Evolution Soccer 2015,2014.0,Sports,Konami Digital Entertainment,0.09,0.45,0.12,0.1,0.76,70,14,487
LEGO City Undercover,2017.0,Platform,Warner Bros. Interactive Entertainment,0.17,0.46,0.01,0.12,0.75,145,8,338
Pro Evolution Soccer 2018,2017.0,Sports,Konami Digital Entertainment,0.12,0.36,0.19,0.09,0.75,70,14,490
Disney Infinity 2.0: Marvel Super Heroes,2014.0,Action-Adventure,Disney Interactive Studios,0.37,0.25,0.0,0.13,0.75,37,1,170
Pro Evolution Soccer 2017,2016.0,Sports,Konami Digital Entertainment,0.08,0.41,0.18,0.09,0.75,70,14,489
Sniper Elite 3,2014.0,Shooter,505 Games,0.25,0.37,0.0,0.12,0.74,3,12,593
MLB 14 The Show,2014.0,Sports,Sony Computer Entertainment,0.59,0.0,0.0,0.14,0.73,112,14,366
WipEout Omega Collection,2017.0,Racing,Sony Interactive Entertainment,0.12,0.49,0.0,0.11,0.72,113,10,769
Deus Ex: Mankind Divided,2016.0,Role-Playing,Square Enix,0.25,0.34,0.01,0.12,0.72,117,11,157
The LEGO Movie Videogame,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.26,0.32,0.01,0.11,0.71,145,1,667
Marvel vs. Capcom: Infinite,2017.0,Fighting,Capcom,0.36,0.19,0.04,0.11,0.7,25,3,384
Dark Souls II,2015.0,Role-Playing,Namco Bandai Games,0.27,0.23,0.09,0.1,0.69,86,11,129
Yakuza 6,2016.0,Adventure,Sega,0.16,0.1,0.38,0.05,0.69,108,2,785
F1 2015,2015.0,Racing,Codemasters,0.1,0.45,0.04,0.1,0.68,27,10,216
METRO 2033,2014.0,Shooter,Deep Silver,0.22,0.31,0.05,0.1,0.68,35,12,365
Rocksmith 2014,2014.0,Music,Ubisoft,0.38,0.17,0.0,0.12,0.67,140,6,546
NHL 16,2015.0,Sports,EA Sports,0.38,0.16,0.0,0.12,0.66,40,14,428
Plants vs Zombies: Garden Warfare,2014.0,Shooter,Electronic Arts,0.24,0.3,0.01,0.11,0.66,41,12,480
Tales of Berseria,2016.0,Role-Playing,Namco Bandai Games,0.22,0.1,0.26,0.07,0.65,86,11,633
Yakuza Zero: The Place of Oath,2015.0,Adventure,Sega,0.22,0.16,0.19,0.08,0.65,108,2,788
One Piece: Burning Blood,2016.0,Fighting,Namco Bandai Games,0.21,0.26,0.09,0.09,0.65,86,3,460
Batman: Return to Arkham,2016.0,Action,Warner Bros. Interactive Entertainment,0.15,0.39,0.01,0.1,0.64,145,0,57
Plants vs. Zombies: Garden Warfare 2,2016.0,Shooter,Electronic Arts,0.22,0.31,0.0,0.1,0.63,41,12,481
LEGO The Hobbit,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.14,0.39,0.0,0.1,0.62,145,1,344
World of Final Fantasy,2016.0,Role-Playing,Square Enix,0.24,0.21,0.09,0.09,0.62,117,11,779
F1 2017,2017.0,Racing,Koch Media,0.04,0.47,0.02,0.09,0.62,68,10,218
NHL 15,2014.0,Sports,EA Sports,0.32,0.19,0.0,0.11,0.62,40,14,427
