Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Produtor,Genero,Jogo
Knowledge is Power,2017.0,Party,Sony Interactive Entertainment,0.05,0.47,0.0,0.09,0.61,113,7,332
L.A. Noire,2017.0,Adventure,Rockstar Games,0.18,0.32,0.0,0.1,0.6,107,2,337
Hidden Agenda,2017.0,Adventure,Sony Interactive Entertainment,0.08,0.42,0.0,0.09,0.59,113,2,291
Call of Duty: Modern Warfare Remastered,2017.0,Shooter,Activision,0.17,0.3,0.03,0.09,0.58,8,12,101
Dragon Quest Builders: Revive Alefgard,2016.0,Role-Playing,Square Enix,0.12,0.17,0.24,0.06,0.58,117,11,183
The Lego Ninjago Movie Videogame,2017.0,Action,Warner Bros. Interactive Entertainment,0.16,0.32,0.0,0.09,0.57,145,0,672
Resident Evil: Revelations 2,2015.0,Action,Capcom,0.14,0.25,0.11,0.07,0.57,25,0,532
Rock Band 4,2015.0,Music,Harmonix Music Systems,0.41,0.06,0.0,0.1,0.57,60,6,544
NHL 18,2017.0,Sports,EA Sports,0.31,0.16,0.0,0.1,0.57,40,14,430
Everybody's Golf,2017.0,Sports,Sony Interactive Entertainment,0.12,0.22,0.17,0.06,0.56,113,14,212
The Amazing Spider-Man 2 (2014),2014.0,Action-Adventure,Activision,0.2,0.26,0.02,0.09,0.56,8,1,643
DOOM VFR,2017.0,Shooter,Bethesda Softworks,0.22,0.25,0.0,0.09,0.56,19,12,125
Sonic Forces,2017.0,Platform,Sega,0.15,0.31,0.01,0.09,0.56,108,8,597
Kingdom Come: Deliverance,2018.0,Role-Playing,Deep Silver,0.18,0.28,0.0,0.09,0.56,35,11,325
Lords of the Fallen,2014.0,Role-Playing,Square Enix,0.2,0.24,0.02,0.09,0.55,117,11,362
Sniper Elite 4,2017.0,Shooter,Rebellion Developments,0.21,0.25,0.0,0.09,0.55,103,12,594
Rory McIlroy PGA Tour,2015.0,Sports,Electronic Arts,0.19,0.27,0.0,0.09,0.55,41,14,552
Project CARS 2,2017.0,Racing,Namco Bandai Games,0.1,0.35,0.02,0.08,0.55,86,10,494
Skylanders: Trap Team,2014.0,Platform,Activision,0.25,0.18,0.0,0.09,0.52,8,8,590
NHL 17,2016.0,Sports,EA Sports,0.32,0.11,0.0,0.09,0.52,40,14,429
One Piece: Pirate Warriors 3,2015.0,Action,Namco Bandai Games,0.11,0.22,0.11,0.06,0.52,86,0,461
DiRT Rally,2016.0,Racing,Codemasters,0.13,0.3,0.0,0.08,0.51,27,10,160
Homefront: The Revolution,2016.0,Shooter,Deep Silver,0.11,0.29,0.04,0.07,0.5,35,12,294
Attack on Titan (KOEI),2016.0,Action,Tecmo Koei,0.08,0.24,0.12,0.06,0.5,129,0,47
DiRT 4,2017.0,Racing,Codemasters,0.1,0.3,0.02,0.07,0.49,27,10,159
Farpoint,2017.0,Shooter,Sony Interactive Entertainment,0.0,0.38,0.04,0.06,0.48,113,12,233
Battleborn,2016.0,Shooter,2K Games,0.25,0.12,0.03,0.08,0.48,0,12,62
A Way Out,2018.0,Action,Electronic Arts,0.23,0.16,0.0,0.08,0.48,41,0,2
Friday the 13th: The Game,2017.0,Action,Gun Media,0.29,0.09,0.03,0.08,0.48,57,0,247
The Walking Dead: A Telltale Games Series,2014.0,Adventure,Telltale Games,0.12,0.26,0.03,0.07,0.48,130,2,687
Wolfenstein: The Old Blood,2015.0,Shooter,Bethesda Softworks,0.13,0.25,0.02,0.07,0.48,19,12,774
Deadpool,2015.0,Action,Activision,0.26,0.13,0.0,0.08,0.47,8,0,145
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,2016.0,Action,Square Enix,0.05,0.09,0.3,0.03,0.47,117,0,184
TrackMania Turbo,2016.0,Racing,Ubisoft,0.04,0.35,0.0,0.07,0.47,140,10,718
Knack 2,2017.0,Platform,Sony Interactive Entertainment,0.14,0.25,0.01,0.07,0.47,113,8,331
Just Dance 2014,2013.0,Music,Ubisoft,0.21,0.18,0.0,0.08,0.47,140,6,314
Dissidia Final Fantasy NT,2018.0,Fighting,Square Enix,0.19,0.06,0.16,0.05,0.46,117,3,172
Skylanders: SuperChargers,2015.0,Action-Adventure,Activision,0.29,0.09,0.0,0.08,0.45,8,1,589
Yakuza Kiwami,2016.0,Adventure,Sega,0.13,0.07,0.21,0.04,0.45,108,2,786
Tales of Zestiria,2015.0,Role-Playing,Namco Bandai Games,0.18,0.16,0.04,0.07,0.45,86,11,634
Star Ocean 5: Integrity and Faithlessness,2016.0,Role-Playing,Square Enix,0.1,0.13,0.16,0.05,0.45,117,11,603
Sleeping Dogs,2014.0,Action,Square Enix,0.16,0.21,0.0,0.07,0.44,117,0,591
Skylanders SWAP Force,2013.0,Misc,Activision,0.23,0.14,0.0,0.08,0.44,8,5,588
Skylanders Imaginators,2016.0,Platform,Activision,0.18,0.18,0.0,0.07,0.43,8,8,587
Trials Fusion,2014.0,Misc,Ubisoft,0.13,0.23,0.01,0.07,0.43,140,5,721
Saints Row IV,2015.0,Action,Deep Silver,0.15,0.18,0.03,0.06,0.42,35,0,563
Dishonored,2015.0,Action,Bethesda Softworks,0.12,0.21,0.02,0.06,0.42,19,0,167
Mirror's Edge 2,2016.0,Platform,Electronic Arts,0.13,0.19,0.03,0.06,0.42,41,8,401
Farming Simulator 2015,2015.0,Simulation,Koch Media,0.13,0.22,0.0,0.07,0.41,68,13,232
Just Dance 2015,2014.0,Music,Ubisoft,0.21,0.13,0.0,0.07,0.41,140,6,315
Sword Art Online: Hollow Realization,2016.0,Role-Playing,Namco Bandai Games,0.18,0.06,0.12,0.05,0.41,86,11,627
Just Dance 2016,2015.0,Music,Ubisoft,0.19,0.13,0.0,0.07,0.39,140,6,316
Batman: Arkham VR,2016.0,Action,Warner Bros. Interactive Entertainment,0.32,0.0,0.0,0.07,0.39,145,0,56
Little Nightmares,2017.0,Platform,Namco Bandai Games,0.18,0.12,0.02,0.06,0.39,86,8,357
Tropico 5,2015.0,Simulation,Kalypso Media,0.07,0.18,0.08,0.05,0.38,67,13,724
Life is Strange,2016.0,Adventure,Square Enix,0.11,0.16,0.05,0.05,0.37,117,2,355
Resident Evil Zero,2016.0,Action-Adventure,Capcom,0.07,0.18,0.07,0.05,0.37,25,1,530
Yakuza Kiwami 2,2017.0,Action,Sega,0.08,0.06,0.19,0.03,0.37,108,0,787
Vampyr,2018.0,Role-Playing,Focus Home Interactive,0.12,0.19,0.0,0.06,0.37,45,11,746
Okami,2017.0,Action,Capcom,0.16,0.12,0.03,0.06,0.36,25,0,455
Sniper: Ghost Warrior 3,2017.0,Shooter,City Interactive,0.14,0.15,0.03,0.06,0.36,26,12,595
Hokuto ga Gotoku,2018.0,Action,Sega,0.09,0.05,0.18,0.03,0.36,108,0,293
Sword Art Online: Lost Song,2015.0,Role-Playing,Namco Bandai Games,0.19,0.11,0.0,0.06,0.36,86,11,628
Disgaea 5: Alliance of Vengeance,2015.0,Role-Playing,NIS America,0.15,0.08,0.07,0.05,0.35,85,11,166
Dead or Alive 5,2015.0,Fighting,Tecmo Koei,0.09,0.13,0.09,0.04,0.35,129,3,143
Gravity Rush 2,2017.0,Action-Adventure,Sony Interactive Entertainment,0.13,0.05,0.13,0.04,0.35,113,1,274
Odin Sphere: Leifthrasir,2016.0,Role-Playing,NIS America,0.14,0.07,0.09,0.04,0.34,85,11,454
Divinity: Original Sin,2015.0,Role-Playing,Focus Home Interactive,0.13,0.13,0.04,0.05,0.34,45,11,173
The King of Fighters XIV,2016.0,Fighting,Deep Silver,0.21,0.02,0.06,0.05,0.34,35,3,666
Dishonored: Death of the Outsider,2017.0,Action,Bethesda Softworks,0.1,0.18,0.0,0.05,0.33,19,0,169
Valkyria Chronicles,2016.0,Role-Playing,Sega,0.14,0.08,0.08,0.04,0.33,108,11,744
Murdered: Soul Suspect,2014.0,Action-Adventure,Square Enix,0.09,0.17,0.02,0.05,0.33,117,1,414
Payday 2,2015.0,Shooter,505 Games,0.12,0.14,0.0,0.05,0.32,3,12,474
UEFA Euro 2016,2016.0,Sports,Konami Digital Entertainment,0.0,0.22,0.05,0.04,0.31,70,14,727
DmC: Devil May Cry,2015.0,Action,Capcom,0.12,0.13,0.0,0.05,0.31,25,0,174
Sonic Mania,2017.0,Platform,Sega,0.1,0.15,0.01,0.05,0.31,108,8,598
J Stars Victory Vs.,2015.0,Fighting,Namco Bandai Games,0.11,0.14,0.0,0.05,0.31,86,3,309
XCOM 2,2016.0,Strategy,2K Games,0.16,0.1,0.0,0.05,0.31,0,15,782
Dynasty Warriors 8: Xtreme Legends,2014.0,Misc,Tecmo Koei,0.09,0.12,0.06,0.04,0.31,129,5,198
Cities: Skylines,2017.0,Simulation,Koch Media,0.15,0.07,0.04,0.05,0.3,68,13,111
Saint Seiya: Soldiers' Soul,2015.0,Fighting,Namco Bandai Games,0.0,0.21,0.05,0.04,0.3,86,3,562
Just Dance 2018,2017.0,Music,Ubisoft,0.1,0.15,0.0,0.05,0.3,140,6,318
The Walking Dead: Season Two,2014.0,Misc,Square Enix,0.13,0.09,0.03,0.05,0.3,117,5,689
Sword Art Online: Fatal Bullet,2018.0,Role-Playing,Namco Bandai Games,0.11,0.03,0.13,0.03,0.29,86,11,624
Naruto to Boruto: Shinobi Striker,2018.0,Action,Bandai Namco Games,0.19,0.03,0.02,0.05,0.29,18,0,434
Yooka-Laylee,2017.0,Platform,Sold Out,0.09,0.16,0.0,0.05,0.29,111,8,793
Cars 3: Driven to Win,2017.0,Racing,Warner Bros. Interactive Entertainment,0.06,0.18,0.01,0.04,0.29,145,10,105
Metal Gear Solid V: The Definitive Experience,2016.0,Action,Konami Digital Entertainment,0.13,0.08,0.03,0.04,0.29,70,0,390
Sherlock Holmes: Crimes & Punishments,2014.0,Adventure,Focus Home Interactive,0.1,0.14,0.0,0.05,0.29,45,2,579
Star Trek Bridge Crew VR,2017.0,Action,Ubisoft,0.11,0.12,0.0,0.05,0.28,140,0,604
The Heavy Rain and Beyond: Two Souls Collection,2016.0,Action,Sony Computer Entertainment,0.0,0.24,0.0,0.04,0.28,112,0,661
Spintires: MudRunner,2017.0,Simulation,Focus Home Interactive,0.11,0.12,0.0,0.05,0.28,45,13,602
Onechanbara Z2: Chaos,2014.0,Action,NIS America,0.16,0.03,0.05,0.04,0.28,85,0,463
Secret of Mana,2018.0,Role-Playing,Square Enix,0.06,0.12,0.05,0.04,0.28,117,11,569
Gundam Versus,2017.0,Action,Namco Bandai Games,0.08,0.0,0.18,0.02,0.28,86,0,281
NBA Live 14,2013.0,Sports,EA Sports,0.17,0.05,0.0,0.05,0.27,40,14,423
Bravo Team VR,2018.0,Shooter,Sony Interactive Entertainment,0.12,0.09,0.02,0.04,0.27,113,12,91
Killing Floor 2Ê,2016.0,Shooter,Tripwire Interactive,0.19,0.03,0.0,0.05,0.27,135,12,322
Robinson: The Journey,2016.0,Action-Adventure,Sony Interactive Entertainment,0.14,0.09,0.0,0.05,0.27,113,1,543
DriveClub VR,2016.0,Racing,Sony Interactive Entertainment,0.12,0.09,0.01,0.04,0.27,113,10,192
Fate/Extella: The Umbral Star,2016.0,Action,PQube,0.12,0.0,0.12,0.03,0.27,95,0,234
Ultimate Marvel vs. Capcom 3,2017.0,Fighting,Capcom,0.19,0.0,0.02,0.04,0.26,25,3,728
New Danganronpa V3: Minna no Koroshiai Shin Gakki,2017.0,Adventure,NIS America,0.09,0.05,0.07,0.03,0.25,85,2,440
Samurai Warriors 4,2014.0,Fighting,Tecmo Koei,0.08,0.07,0.06,0.03,0.25,129,3,565
Darksiders III,2018.0,Action,THQ Nordic,0.13,0.07,0.0,0.04,0.25,121,0,133
NBA Live 15,2014.0,Sports,Electronic Arts,0.16,0.04,0.0,0.04,0.25,41,14,424
NBA Live 18,2017.0,Sports,EA Sports,0.2,0.0,0.0,0.05,0.24,40,14,426
Tearaway Unfolded,2015.0,Platform,Sony Computer Entertainment,0.07,0.13,0.0,0.04,0.24,112,8,635
.hack//G.U. Last Recode,2017.0,Role-Playing,Namco Bandai Games,0.1,0.04,0.08,0.03,0.24,86,11,0
Ride,2015.0,Racing,Milestone S.r.l.,0.04,0.13,0.03,0.03,0.24,83,10,536
Just Dance 2017,2016.0,Misc,Ubisoft,0.08,0.12,0.0,0.04,0.24,140,5,317
The Escapists 2,2017.0,Action,Sold Out,0.04,0.16,0.0,0.04,0.24,111,0,654
Transformers: Devastation,2015.0,Action,Activision,0.11,0.09,0.0,0.04,0.24,8,0,720
Darksiders II,2015.0,Action-Adventure,Nordic Games,0.1,0.1,0.0,0.04,0.24,91,1,132
Jikkyou Powerful Pro Baseball 2016,2016.0,Sports,Konami Digital Entertainment,0.0,0.0,0.24,0.0,0.24,70,14,310
The Elder Scrolls Online: Morrowind,2017.0,MMO,Bethesda Softworks,0.11,0.09,0.0,0.04,0.24,19,4,651
Digimon World: Next Order,2017.0,Role-Playing,Namco Bandai Games,0.13,0.05,0.02,0.04,0.24,86,11,164
theHunter: Call of the Wild,2017.0,Shooter,Astragon,0.19,0.0,0.0,0.04,0.24,12,12,804
Tony Hawk's Pro Skater 5,2015.0,Sports,Activision,0.11,0.08,0.0,0.04,0.23,8,14,706
Angry Birds: Star Wars,2013.0,Puzzle,Activision,0.11,0.09,0.0,0.04,0.23,8,9,24
Elex,2017.0,Role-Playing,THQ Nordic,0.03,0.16,0.0,0.04,0.23,121,11,209
RIGS: Mechanized Combat League,2016.0,Action,Sony Interactive Entertainment,0.11,0.06,0.02,0.04,0.23,113,0,509
Transformer: Rise of the Dark Spark,2014.0,Shooter,Activision,0.08,0.11,0.01,0.04,0.23,8,12,719
Dead Island Definitive Collection,2016.0,Action,Deep Silver,0.09,0.08,0.03,0.03,0.23,35,0,138
Metal Gear Survive,2018.0,Action,Konami Digital Entertainment,0.08,0.06,0.05,0.03,0.23,70,0,393
Singstar Celebration,2017.0,Music,Sony Interactive Entertainment,0.04,0.15,0.0,0.03,0.23,113,6,584
Dead by Daylight,2017.0,Action,505 Games,0.11,0.06,0.02,0.04,0.22,3,0,142
Attack on Titan 2,2018.0,Action,Koei Tecmo,0.09,0.04,0.06,0.03,0.22,69,0,48
The Wolf Among Us,2014.0,Adventure,Telltale Games,0.11,0.07,0.0,0.04,0.22,130,2,694
Micro Machines: World Series,2017.0,Racing,Codemasters,0.03,0.16,0.0,0.03,0.22,27,10,394
Bladestorm: Nightmare,2015.0,Action,Tecmo Koei,0.11,0.04,0.03,0.03,0.22,129,0,79
Zombie Army Trilogy,2015.0,Shooter,Rebellion Developments,0.06,0.13,0.0,0.03,0.22,103,12,800
Outlast Trinity,2017.0,Action,Warner Bros. Interactive Entertainment,0.09,0.09,0.0,0.04,0.22,145,0,465
EVE: Valkyrie,2016.0,Shooter,Sony Interactive Entertainment,0.11,0.06,0.0,0.04,0.21,113,12,204
Senran Kagura: Peach Beach Splash,2017.0,Action,PQube,0.09,0.02,0.08,0.02,0.21,95,0,573
Ys VIII: Lacrimosa of Dana,2017.0,Role-Playing,NIS America,0.08,0.04,0.08,0.02,0.21,85,11,795
Bound By Flame,2014.0,Action,Focus Home Interactive,0.08,0.09,0.0,0.04,0.21,45,0,90
NBA Live 16,2015.0,Sports,EA Sports,0.13,0.05,0.0,0.04,0.21,40,14,425
7 Days to Die,2016.0,Action,Telltale Games,0.09,0.08,0.0,0.03,0.21,130,0,1
Dynasty Warriors 8: Empires,2014.0,Misc,Tecmo Koei,0.07,0.07,0.04,0.03,0.21,129,5,197
Dragon's Dogma,2017.0,Role-Playing,Capcom,0.07,0.07,0.03,0.03,0.21,25,11,188
Godzilla (2015),2014.0,Action,Namco Bandai Games,0.11,0.03,0.03,0.03,0.2,86,0,268
Eagle Flight,2016.0,Adventure,Ubisoft,0.09,0.08,0.0,0.03,0.2,140,2,205
Agents of Mayhem,2017.0,Action,Deep Silver,0.08,0.08,0.0,0.03,0.2,35,0,14
MotoGP 14Ê,2014.0,Racing,Milestone S.r.l.,0.05,0.11,0.0,0.03,0.2,83,10,410
Elite: Dangerous,2017.0,Simulation,Frontier Developments,0.06,0.1,0.0,0.03,0.19,47,13,210
Singstar: Ultimate Party,2014.0,Music,Sony Computer Entertainment,0.0,0.16,0.0,0.03,0.19,112,6,585
Toukiden Kiwami,2015.0,Action,Tecmo Koei,0.06,0.07,0.03,0.03,0.19,129,0,713
Batman: A Telltale Game Series,2016.0,Adventure,Telltale Games,0.09,0.07,0.0,0.03,0.19,130,2,54
The Surge,2017.0,Action,Koch Media,0.07,0.08,0.01,0.03,0.19,68,0,681
MotoGP 15,2015.0,Racing,Milestone S.r.l.,0.0,0.13,0.04,0.02,0.18,83,10,411
Resident Evil: Revelations,2017.0,Action,Capcom,0.06,0.06,0.04,0.02,0.18,25,0,531
Senran Kagura: Estival Versus,2015.0,Action,Marvelous Interactive,0.08,0.0,0.09,0.02,0.18,76,0,572
Back to the Future: The Game,2015.0,Adventure,Telltale Games,0.1,0.05,0.0,0.03,0.18,130,2,52
The Walking Dead - The Telltale Series: A New Frontier,2017.0,Adventure,Warner Bros. Interactive Entertainment,0.11,0.04,0.0,0.03,0.17,145,2,686
Resident Evil 6,2016.0,Shooter,Capcom,0.1,0.0,0.05,0.02,0.17,25,12,528
Final Fantasy XIV: Heavensward,2015.0,MMO,Square Enix,0.0,0.09,0.06,0.02,0.17,117,4,240
Final Fantasy XIV: Stormblood,2017.0,MMO,Square Enix,0.05,0.06,0.04,0.02,0.17,117,4,241
Guilty Gear Xrd: Sign,2014.0,Fighting,Arc System Works,0.11,0.0,0.04,0.02,0.17,11,3,278
Prototype: Biohazard Bundle,2016.0,Action,Activision,0.14,0.0,0.0,0.03,0.17,8,0,496
BlazBlue Central Fiction,2016.0,Fighting,PQube,0.1,0.0,0.05,0.02,0.17,95,3,81
MXGP 3: The Official Motocross Videogame,2017.0,Racing,Milestone,0.06,0.08,0.0,0.03,0.17,81,10,374
Ride 2,2016.0,Racing,Milestone S.r.l,0.07,0.06,0.01,0.03,0.16,82,10,537
Dead Rising 4,2017.0,Action-Adventure,Capcom,0.08,0.05,0.0,0.03,0.16,25,1,141
Putty Squad,2013.0,Platform,System 3,0.06,0.07,0.0,0.03,0.16,120,8,502
Digimon Story: Cyber Sleuth - Hacker's Memory,2017.0,Role-Playing,Namco Bandai Games,0.05,0.05,0.04,0.02,0.16,86,11,163
Battlezone,2016.0,Action,Sony Interactive Entertainment,0.09,0.04,0.0,0.03,0.16,113,0,66
Naruto Shippuden: Ultimate Ninja Storm Legacy,2017.0,Fighting,Namco Bandai Games,0.07,0.04,0.03,0.02,0.16,86,3,433
Berserk and the Band of the Hawk,2016.0,Action,Tecmo Koei,0.07,0.02,0.05,0.02,0.16,129,0,69
BlazBlue: Chrono Phantasma Extend,2015.0,Fighting,PQube,0.08,0.04,0.02,0.02,0.16,95,3,82
Pillars of Eternity,2017.0,Role-Playing,Paradox InteractiveÊ,0.11,0.02,0.0,0.03,0.16,96,11,478
Valkyria: Azure Revolution,2017.0,Role-Playing,Deep Silver,0.04,0.03,0.07,0.02,0.16,35,11,745
Gravity Rush Remastered,2015.0,Action-Adventure,Sony Computer Entertainment,0.02,0.06,0.05,0.02,0.16,112,1,275
Psycho-Pass: Mandatory Happiness,2016.0,Visual Novel,NIS America,0.1,0.02,0.0,0.03,0.15,85,16,497
Brothers: A Tale of Two Sons,2015.0,Adventure,505 Games,0.04,0.09,0.0,0.02,0.15,3,2,94
Warriors Orochi 3,2014.0,Action,Tecmo Koei,0.04,0.05,0.04,0.02,0.15,129,0,759
Wasteland 2,2015.0,Role-Playing,Deep Silver,0.1,0.0,0.03,0.02,0.15,35,11,760
Atelier Sophie: The Alchemist of the Mysterious Book,2015.0,Role-Playing,Tecmo Koei,0.04,0.03,0.07,0.01,0.15,129,11,46
NASCAR Heat Evolution,2016.0,Racing,Dusenberry Martin Racing,0.12,0.0,0.0,0.03,0.15,39,10,417
Yakuza: Ishin,2014.0,Adventure,Sega,0.0,0.0,0.15,0.0,0.15,108,2,789
Toukiden 2,2016.0,Action,Tecmo Koei,0.04,0.0,0.1,0.01,0.15,129,0,712
Song of the Deep,2016.0,Action,Insomniac Games,0.12,0.0,0.0,0.03,0.15,64,0,596
Super Robot Wars V,2017.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,86,11,621
Blue Reflection: Maboroshi ni Mau - Shoujo no Ken,2017.0,Role-Playing,Tecmo Koei,0.07,0.0,0.06,0.02,0.14,129,11,87
Yonmegami Online: Cyber Dimension Neptune,2017.0,Role-Playing,Idea Factory International,0.06,0.0,0.07,0.01,0.14,63,11,792
Grand Kingdom,2015.0,Role-Playing,NIS America,0.08,0.0,0.04,0.02,0.14,85,11,272
Arslan: The Warriors of Legend,2016.0,Action,Tecmo Koei,0.03,0.04,0.06,0.01,0.14,129,0,31
Pro Cycling Manager 2016,2016.0,Sports,Focus Home Interactive,0.0,0.12,0.0,0.02,0.14,45,14,486
Shovel Knight,2015.0,Platform,Yacht Club Games,0.08,0.04,0.0,0.02,0.14,148,8,582
Adventure Time: Finn & Jake Investigations,2015.0,Action,Little Orbit,0.07,0.05,0.0,0.02,0.14,73,0,8
Guilty Gear Xrd -Revelator-,2016.0,Fighting,PQube,0.06,0.0,0.07,0.01,0.14,95,3,276
We Happy Few,2018.0,Action-Adventure,Gearbox Software,0.08,0.04,0.0,0.02,0.14,55,1,763
Rocksmith 2014 Edition Remastered,2016.0,Music,Ubisoft,0.11,0.0,0.0,0.03,0.14,140,6,547
The Crew: Wild Run,2015.0,Racing,Ubisoft,0.0,0.12,0.0,0.02,0.14,140,10,648
MXGP 2,2016.0,Racing,Milestone S.r.l.,0.05,0.06,0.0,0.02,0.14,83,10,373
MotoGP 17,2017.0,Racing,Koch Media,0.04,0.07,0.0,0.02,0.14,68,10,412
Fairy Fencer F: Advent Dark Force,2015.0,Role-Playing,Idea Factory International,0.06,0.0,0.06,0.01,0.14,63,11,224
Samurai Warriors 4-II,2015.0,Action,Tecmo Koei,0.04,0.02,0.07,0.01,0.13,129,0,566
The Golf Club,2014.0,Sports,Ravenscourt,0.09,0.02,0.0,0.02,0.13,100,14,660
Hatsune Miku: Project Diva X,2016.0,Music,Sega,0.08,0.0,0.04,0.02,0.13,108,6,287
