Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Produtor,Genero,Jogo
NASCAR Heat 2,2017.0,Racing,505 Games,0.11,0.0,0.0,0.02,0.13,3,10,416
Bulletstorm: Full Clip Edition,2017.0,Shooter,Gearbox Software,0.05,0.06,0.0,0.02,0.13,55,12,96
Valentino Rossi: The Game,2016.0,Racing,Namco Bandai Games,0.05,0.05,0.0,0.02,0.13,86,10,742
Golf Club 2,2017.0,Sports,Maximum Games,0.05,0.06,0.0,0.02,0.13,77,14,269
Akiba's Trip 2,2014.0,Action,Acquire,0.09,0.0,0.02,0.02,0.13,6,0,18
Rugby 15,2015.0,Sports,Bigben Interactive,0.05,0.06,0.0,0.02,0.13,21,14,553
Utawarerumono: Futari no Hakuoro,2016.0,Visual Novel,Atlus,0.05,0.0,0.07,0.01,0.13,14,16,739
The Legend of Heroes: Trails of Cold Steel III,2017.0,Role-Playing,Nihon Falcom Corporation,0.0,0.0,0.13,0.0,0.13,89,11,670
Utawarerumono: Itsuwari no Kamen,2015.0,Adventure,Deep Silver,0.05,0.0,0.07,0.01,0.13,35,2,740
The Inpatient,2018.0,Action,Sony Interactive Entertainment,0.06,0.05,0.0,0.02,0.13,113,0,664
Don Bradman Cricket 14,2015.0,Sports,Tru Blu Entertainment,0.01,0.09,0.0,0.02,0.13,136,14,175
Sword Art Online: Hollow Fragment,2015.0,Role-Playing,Namco Bandai Games,0.0,0.11,0.0,0.02,0.12,86,11,626
Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016.0,Action,Activision,0.07,0.03,0.0,0.02,0.12,8,0,636
Job Simulator,2017.0,Simulation,Sony Interactive Entertainment,0.1,0.0,0.0,0.02,0.12,113,13,312
Portal Knights,2017.0,Role-Playing,505 Games,0.02,0.05,0.03,0.01,0.12,3,11,483
Samurai Warriors 4: Empires,2015.0,Action,Tecmo Koei,0.03,0.01,0.07,0.01,0.12,129,0,567
Danganronpa 1o2 Reload,2017.0,Adventure,NIS America,0.08,0.0,0.02,0.02,0.12,85,2,126
God Eater 2: Rage Burst,2015.0,Role-Playing,Namco Bandai Games,0.0,0.01,0.11,0.0,0.12,86,11,256
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,2017.0,Misc,Ubisoft,0.1,0.0,0.0,0.02,0.12,140,5,22
Marvel's Guardians of the Galaxy: The Telltale Series,2017.0,Adventure,Warner Bros. Interactive Entertainment,0.06,0.04,0.0,0.02,0.12,145,2,385
Digimon Story: Cyber Sleuth,2016.0,Role-Playing,Namco Bandai Games,0.0,0.1,0.0,0.02,0.11,86,11,162
Constructor HD,2017.0,Strategy,System 3,0.09,0.0,0.0,0.02,0.11,120,15,115
Minecraft: Story Mode - Season Two,2017.0,Adventure,Telltale Games,0.09,0.0,0.0,0.02,0.11,130,2,400
Darksiders: Warmastered Edition,2016.0,Action-Adventure,THQ Nordic,0.07,0.02,0.0,0.02,0.11,121,1,134
Mighty No. 9,2016.0,Platform,Deep Silver,0.09,0.0,0.0,0.02,0.11,35,8,397
The Invisible Hours,2017.0,Adventure,GameTrust,0.09,0.0,0.0,0.02,0.11,53,2,665
Monster Energy Supercross - The Official Videogame,2018.0,Racing,Milestone S.r.l.,0.08,0.01,0.0,0.02,0.11,83,10,403
The Idolmaster: Platinum Stars,2016.0,Simulation,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,86,13,662
The Witch and the Hundred Knight,2015.0,Role-Playing,NIS America,0.03,0.01,0.06,0.01,0.11,85,11,690
SD Gundam G Generation Genesis,2016.0,Strategy,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,86,15,559
Rime,2017.0,Adventure,Grey Box,0.02,0.07,0.0,0.02,0.11,56,2,538
Super Robot Wars OG: The Moon Dwellers,2016.0,Misc,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,86,5,620
Gundam Breaker 3,2016.0,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,86,0,280
Earth Defense Force 2025.1: The Shadow of New Despair,2015.0,Shooter,D3Publisher,0.0,0.0,0.11,0.0,0.11,31,12,206
Shadow Warrior (2013),2014.0,Shooter,Devolver Digital,0.0,0.09,0.0,0.02,0.11,36,12,575
Assassin's Creed Chronicles,2016.0,Action,Ubisoft,0.02,0.05,0.02,0.01,0.11,140,0,32
Mega Man Legacy Collection,2016.0,Platform,Capcom,0.09,0.0,0.0,0.02,0.11,25,8,387
Pac-Man Championship Edition 2 + Arcade Game Series,2017.0,Action,Namco Bandai Games,0.08,0.0,0.0,0.02,0.1,86,0,470
Tokyo Xanadu eX+,2016.0,Role-Playing,Nihon Falcom Corporation,0.05,0.0,0.05,0.01,0.1,89,11,701
Stardew Valley,2017.0,Simulation,505 Games,0.04,0.04,0.0,0.02,0.1,3,13,608
Romance of the Three Kingdoms 13,2015.0,Action,Tecmo Koei,0.03,0.0,0.06,0.01,0.1,129,0,549
Musou Stars,2017.0,Action,Tecmo Koei,0.03,0.0,0.06,0.01,0.1,129,0,415
Mega Man Legacy Collection 2,2017.0,Action,Capcom,0.06,0.0,0.02,0.01,0.1,25,0,388
Final Fantasy XIV Online Complete Edition,2017.0,MMO,Square Enix,0.07,0.0,0.02,0.02,0.1,117,4,238
Devil May Cry 4,2015.0,Action,Capcom,0.01,0.0,0.09,0.0,0.1,25,0,158
Puyo Puyo Tetris,2014.0,Puzzle,Sega,0.05,0.03,0.0,0.02,0.1,108,9,503
Natural Doctrine,2014.0,Role-Playing,NIS America,0.05,0.02,0.02,0.01,0.1,85,11,436
Sudden Strike 4,2017.0,Strategy,Kalypso Media,0.05,0.03,0.01,0.02,0.1,67,15,615
Accel World vs. Sword Art Online: Millennium Twilight,2017.0,Action,Namco Bandai Games,0.0,0.03,0.06,0.01,0.1,86,0,7
Wolfenstein The Two Pack,2017.0,Shooter,Bethesda Softworks,0.08,0.0,0.0,0.02,0.1,19,12,772
Guilty Gear Xrd REV 2,2017.0,Fighting,PQube,0.04,0.01,0.03,0.01,0.1,95,3,277
Let's Sing 2016,2015.0,Music,Ravenscourt,0.08,0.0,0.0,0.02,0.1,100,6,354
Resident Evil 4 HD,2016.0,Action-Adventure,Capcom,0.07,0.0,0.01,0.02,0.1,25,1,525
Nights of Azure 2,2017.0,Action,Tecmo Koei,0.04,0.0,0.04,0.01,0.09,129,0,446
The Technomancer,2016.0,Role-Playing,Focus Home Interactive,0.04,0.04,0.0,0.02,0.09,45,11,683
Nights of Azure,2015.0,Action,Tecmo Koei,0.04,0.04,0.0,0.02,0.09,129,0,445
Taiko no Tatsujin: Drum Session!,2017.0,Music,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09,86,6,632
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,2016.0,Strategy,Tecmo Koei,0.03,0.0,0.06,0.01,0.09,129,15,452
Grand Ages: Medieval,2015.0,Strategy,Kalypso Media,0.0,0.05,0.03,0.01,0.09,67,15,271
Rugby League Live 4,2017.0,Sports,Tru Blu Entertainment,0.0,0.08,0.0,0.01,0.09,136,14,557
Toy Soldiers: War Chest,2015.0,Action,Ubisoft,0.07,0.0,0.0,0.02,0.09,140,0,717
God Eater Resurrection,2015.0,Action,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09,86,0,262
Paragon,2016.0,Action,Sony Interactive Entertainment,0.07,0.0,0.0,0.02,0.09,113,0,471
Summon Night 6: Lost Borders,2016.0,Role-Playing,Gaijinworks,0.03,0.0,0.05,0.01,0.09,50,11,617
Black Rose Valkyrie,2016.0,Role-Playing,Idea Factory International,0.04,0.0,0.04,0.01,0.09,63,11,75
Duke Nukem 3D: 20th Anniversary World Tour,2016.0,Shooter,Gearbox Software,0.07,0.0,0.0,0.02,0.09,55,12,193
ATV Drift & Tricks,2017.0,Racing,Funbox Media,0.07,0.0,0.0,0.02,0.09,48,10,5
Yoru no Nai Kuni,2015.0,Role-Playing,Tecmo Koei,0.0,0.0,0.09,0.0,0.09,129,11,794
Lara Croft and the Temple of Osiris,2014.0,Action,Square Enix,0.0,0.07,0.0,0.01,0.09,117,0,346
Ghostbusters (2016),2016.0,Action,Activision,0.07,0.0,0.0,0.02,0.08,8,0,254
Agatha Christie's The ABC Murders,2016.0,Adventure,Microids,0.05,0.02,0.0,0.02,0.08,80,2,12
Shantae: Half-Genie Hero,2016.0,Platform,Xseed Games,0.06,0.0,0.01,0.01,0.08,147,8,577
Earth Defense Force 4.1: The Shadow of New Despair,2015.0,Shooter,PQube,0.05,0.02,0.0,0.01,0.08,95,12,207
The Sexy Brutale,2017.0,Adventure,Badland Studio,0.05,0.02,0.0,0.01,0.08,16,2,678
Legend of Kay,2015.0,Action,Nordic Games,0.03,0.03,0.0,0.01,0.08,91,0,348
Hasbro Family Fun Pack Conquest Edition,2016.0,Misc,Ubisoft,0.07,0.0,0.0,0.02,0.08,140,5,286
Loading Human,2016.0,Adventure,Maximum Games,0.05,0.02,0.0,0.01,0.08,77,2,359
Rapala Fishing Pro Series,2017.0,Simulation,GameMill,0.06,0.0,0.0,0.02,0.08,51,13,514
Atelier Firis: The Alchemist of the Mysterious Journey,2016.0,Role-Playing,Tecmo Koei,0.02,0.0,0.05,0.01,0.08,129,11,44
Dead Rising,2016.0,Action,Capcom,0.04,0.0,0.02,0.01,0.08,25,0,139
Assetto Corsa,2016.0,Racing,505 Games,0.0,0.06,0.01,0.01,0.08,3,10,41
Akiba's Beat,2016.0,Action,PQube,0.05,0.0,0.01,0.01,0.08,95,0,17
WRC 6,2016.0,Racing,PQube,0.03,0.02,0.01,0.01,0.08,95,10,750
God Wars: Future Past,2017.0,Role-Playing,NIS America,0.03,0.01,0.02,0.01,0.07,85,11,264
Resident Evil 5 HD,2016.0,Action,Capcom,0.05,0.0,0.01,0.01,0.07,25,0,527
The Witch and the Hundred Knights 2,2017.0,Role-Playing,Nippon Ichi Software,0.03,0.0,0.03,0.01,0.07,90,11,691
Samurai Warriors: Sanada Maru,2016.0,Action,Tecmo Koei,0.02,0.0,0.05,0.01,0.07,129,0,568
Project Setsuna,2016.0,Role-Playing,Square Enix,0.0,0.0,0.07,0.0,0.07,117,11,495
Has-Been Heroes,2017.0,Action,GameTrust,0.06,0.0,0.0,0.01,0.07,53,0,284
Fortune Street: Dragon Quest & Final Fantasy 30th Anniversary,2017.0,Misc,Square Enix,0.0,0.0,0.07,0.0,0.07,117,5,246
Styx: Shards of Darknes,2017.0,Action,Focus Home Interactive,0.06,0.0,0.0,0.01,0.07,45,0,614
Dead Rising 2,2016.0,Action,Capcom,0.04,0.0,0.02,0.01,0.07,25,0,140
The Book of Unwritten Tales 2,2015.0,Adventure,Nordic Games,0.0,0.06,0.0,0.01,0.07,91,2,645
Touhou Genso Rondo: Bullet Ballet,2016.0,Shooter,NIS America,0.06,0.0,0.0,0.01,0.07,85,12,708
The Walking Dead: A Telltale Series Collection,2017.0,Adventure,Warner Bros. Interactive Entertainment,0.06,0.0,0.0,0.01,0.07,145,2,688
The Silver Case,2017.0,Visual Novel,NIS America,0.05,0.0,0.01,0.01,0.07,85,16,679
Hunting Simulator,2017.0,Shooter,Bigben Interactive,0.06,0.0,0.0,0.01,0.07,21,12,297
WRC 7,2017.0,Racing,Bigben Interactive,0.06,0.0,0.0,0.01,0.07,21,10,751
Kamen Rider: Battride War Genesis,2016.0,Action,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,86,0,320
Le Tour de France 2017,2017.0,Simulation,Focus Home Interactive,0.0,0.06,0.0,0.01,0.07,45,13,347
City Shrouded in Shadow,2017.0,Action-Adventure,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,86,1,112
SG/ZH: School Girl/Zombie Hunter,2017.0,Action,Aksys Games,0.04,0.0,0.02,0.01,0.07,9,0,560
Broken Sword 5: The Serpent's Curse,2015.0,Adventure,Revolution Software,0.0,0.06,0.0,0.01,0.07,105,2,93
Terraria,2014.0,Action,505 Games,0.0,0.05,0.01,0.01,0.07,3,0,638
Warhammer: The End Times - Vermintide,2016.0,Action,Games Workshop,0.03,0.03,0.0,0.01,0.07,54,0,758
Batman: The Enemy Within,2017.0,Adventure,Telltale Games,0.05,0.0,0.0,0.01,0.07,130,2,58
Atari Flashback Classics: Volume 1,2016.0,Misc,Atari,0.05,0.0,0.0,0.01,0.07,13,5,42
Legend of Kay Anniversary,2015.0,Action,Nordic Games,0.0,0.06,0.0,0.01,0.07,91,0,349
Steins;Gate 0,2015.0,Adventure,PQube,0.0,0.0,0.07,0.0,0.07,95,2,611
ZombiU,2016.0,Action,Ubisoft,0.0,0.04,0.01,0.01,0.07,140,0,799
Risen 3: Titan Lords,2015.0,Role-Playing,Deep Silver,0.0,0.06,0.0,0.01,0.07,35,11,541
Mark McMorris Infinite Air,2016.0,Sports,Maximum Games,0.05,0.0,0.0,0.01,0.06,77,14,382
Dead or Alive Xtreme 3: Fortune,2016.0,Sports,Tecmo Koei,0.0,0.0,0.06,0.0,0.06,129,14,144
Birthdays the Beginning,2017.0,Misc,NIS America,0.05,0.0,0.0,0.01,0.06,85,5,73
Rugby 18,2017.0,Sports,Koch Media,0.05,0.0,0.0,0.01,0.06,68,14,554
The Binding of Isaac,2017.0,Misc,Nicalis,0.05,0.0,0.0,0.01,0.06,87,5,644
Sherlock Holmes: The Devil's Daughter,2016.0,Adventure,Bigben Interactive,0.05,0.0,0.0,0.01,0.06,21,2,580
Atelier Liddy and Soeur: Alchemists of the Mysterious Painting,2017.0,Role-Playing,Tecmo Koei,0.03,0.0,0.03,0.01,0.06,129,11,45
MX vs. ATV Supercross Encore,2015.0,Sports,Nordic Games,0.0,0.05,0.0,0.01,0.06,91,14,372
MX vs ATV Supercross Encore 2017 Track Edition,2017.0,Racing,THQ Nordic,0.05,0.0,0.0,0.01,0.06,121,10,371
Sword Art Online: Game Director's Edition,2015.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06,86,11,625
Deformers,2017.0,Action,Ready at Dawn,0.05,0.0,0.0,0.01,0.06,101,0,149
Nobunaga no Yabou: Souzou,2014.0,Strategy,Tecmo Koei,0.0,0.0,0.06,0.0,0.06,129,15,450
Dragon Quest X: All in One Package,2017.0,Role-Playing,Square Enix,0.0,0.0,0.06,0.0,0.06,117,11,186
Yomawari: Midnight Shadows,2017.0,Action,NIS America,0.02,0.0,0.04,0.0,0.06,85,0,790
Game of Thrones (Telltale),2015.0,Adventure,Telltale Games,0.05,0.0,0.0,0.01,0.06,130,2,250
Atari Flashback Classics: Volume 2,2016.0,Misc,Atari,0.05,0.0,0.0,0.01,0.06,13,5,43
Outcast: Second Contact,2017.0,Adventure,Maximum Games,0.05,0.0,0.0,0.01,0.06,77,2,464
Cartoon Network Battle Crashers,2016.0,Action,Maximum Games,0.05,0.0,0.0,0.01,0.06,77,0,106
Handball 16,2015.0,Sports,Bigben Interactive,0.0,0.05,0.0,0.01,0.06,21,14,283
Extinction,2018.0,Action,Maximum Games,0.05,0.0,0.0,0.01,0.06,77,0,215
Rugby World Cup 2015,2015.0,Sports,Big Ben Interactive,0.0,0.05,0.0,0.01,0.06,20,14,558
Exist Archive: The Other Side of the Sky,2015.0,Role-Playing,Aksys Games,0.02,0.0,0.03,0.0,0.06,9,11,214
King's Quest: The Complete Collection,2016.0,Adventure,Activision,0.05,0.0,0.0,0.01,0.06,8,2,324
Sine Mora,2017.0,Action,THQ Nordic,0.03,0.01,0.0,0.01,0.06,121,0,583
Aven Colony,2017.0,Strategy,Sold Out,0.04,0.01,0.0,0.01,0.06,111,15,49
Battle Chasers: Nightwar,2017.0,Role-Playing,THQ Nordic,0.03,0.02,0.0,0.01,0.06,121,11,59
WRC 5: FIA World Rally Championship,2015.0,Racing,Bigben Interactive,0.0,0.05,0.0,0.01,0.06,21,10,749
Black Mirror,2017.0,Adventure,THQ Nordic,0.04,0.0,0.0,0.01,0.05,121,2,74
Touhou Genso Wanderer,2017.0,Action,NIS America,0.04,0.0,0.0,0.01,0.05,85,0,709
Arcania: Gothic 4,2015.0,Role-Playing,Nordic Games,0.04,0.0,0.0,0.01,0.05,91,11,28
Starblood Arena VR,2017.0,Shooter,Sony Interactive Entertainment,0.04,0.0,0.0,0.01,0.05,113,12,607
Hellblade,2018.0,Action-Adventure,505 Games,0.03,0.01,0.0,0.01,0.05,3,1,288
Bubsy: The Woolies Strike Back,2017.0,Platform,Accolade,0.04,0.0,0.0,0.01,0.05,5,8,95
Nitroplus Blasterz: Heroines Infinite Duel,2015.0,Fighting,Marvelous Interactive,0.01,0.01,0.03,0.0,0.05,76,3,447
Nobunaga's Ambition: Creation,2014.0,Strategy,Tecmo Koei,0.04,0.0,0.0,0.01,0.05,129,15,451
Child of Light,2014.0,Role-Playing,Ubisoft,0.0,0.01,0.04,0.0,0.05,140,11,110
Phantasy Star Online 2 Episode 4: Deluxe Package,2017.0,Role-Playing,Sega,0.0,0.0,0.05,0.0,0.05,108,11,476
Saints Row: Gat out of Hell,2015.0,Action,Deep Silver,0.0,0.04,0.0,0.01,0.05,35,0,564
Werewolves Within,2016.0,Misc,Ubisoft,0.04,0.0,0.0,0.01,0.05,140,5,765
Demon Gaze 2,2017.0,Role-Playing,NIS America,0.04,0.0,0.0,0.01,0.05,85,11,150
Real Farm,2017.0,Simulation,Soedesco,0.04,0.0,0.0,0.01,0.05,110,13,519
Worms: WMD,2016.0,Strategy,Team17 Digital Ltd,0.02,0.02,0.0,0.01,0.05,126,15,781
Syberia III,2017.0,Adventure,Microids,0.04,0.0,0.0,0.01,0.05,80,2,629
Sengoku Basara: Sanada Yukimura-Den,2016.0,Action,Capcom,0.0,0.0,0.05,0.0,0.05,25,0,571
Sengoku Basara 4: Sumeragi,2015.0,Action,Capcom,0.0,0.0,0.05,0.0,0.05,25,0,570
Sbastien Loeb Rally Evo,2016.0,Racing,Milestone S.r.l,0.0,0.04,0.0,0.01,0.05,82,10,630
Don't Starve,2018.0,Adventure,505 Games,0.04,0.0,0.0,0.01,0.05,3,2,177
Monster Jam: Crush It,2016.0,Racing,GameMill,0.04,0.0,0.0,0.01,0.05,51,10,406
Prison Architect,2016.0,Simulation,Introversion Software,0.02,0.02,0.0,0.01,0.05,65,13,485
Assault Suit Leynos,2016.0,Shooter,Rising Star Games,0.04,0.0,0.0,0.01,0.05,106,12,40
Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,2016.0,Adventure,NIS America,0.04,0.0,0.0,0.01,0.05,85,2,700
Overcooked,2016.0,Action,Sold Out,0.04,0.0,0.0,0.01,0.05,111,0,466
Ben 10 (2017),2017.0,Action,Outright Games,0.04,0.0,0.0,0.01,0.05,93,0,67
Dead Alliance,2017.0,Shooter,Maximum Games,0.04,0.0,0.0,0.01,0.04,77,12,136
Deer Hunter Reloaded,2017.0,Shooter,Maximum Games,0.04,0.0,0.0,0.01,0.04,77,12,148
That's You,2017.0,Party,Sony Interactive Entertainment,0.04,0.0,0.0,0.01,0.04,113,7,641
Raid: World War II,2017.0,Shooter,505 Games,0.04,0.0,0.0,0.01,0.04,3,12,512
Hyperdimension Neptunia Victory II,2015.0,Role-Playing,Idea Factory International,0.0,0.0,0.04,0.0,0.04,63,11,300
Zero Escape The Nonary Games,2017.0,Adventure,Aksys Games,0.03,0.0,0.01,0.01,0.04,9,2,796
Rugby Challenge 3,2016.0,Sports,Alternative Software,0.0,0.04,0.0,0.01,0.04,10,14,555
Vikings: Wolves of Midgard,2017.0,Action,Kalypso Media,0.03,0.01,0.0,0.01,0.04,67,0,748
INSIDE / LIMBO Double Pack,2017.0,Platform,505 Games,0.04,0.0,0.0,0.01,0.04,3,8,301
The Talos Principle,2015.0,Puzzle,Nighthawk Interactive,0.0,0.04,0.0,0.01,0.04,88,9,682
Megadimension Neptunia VIIR,2017.0,Role-Playing,Compile Heart,0.01,0.0,0.03,0.0,0.04,29,11,389
R.B.I. Baseball 2016,2016.0,Sports,MLB.com,0.04,0.0,0.0,0.01,0.04,75,14,507
Pure Farming 2018,2018.0,Simulation,Techland,0.02,0.01,0.0,0.01,0.04,128,13,500
Air Conflicts: Secret Wars,2016.0,Simulation,Nighthawk Interactive,0.03,0.0,0.0,0.01,0.04,88,13,16
Anima - Gate of Memories,2016.0,Action,Avanquest,0.01,0.02,0.0,0.01,0.04,15,0,25
Axiom Verge,2017.0,Action,Badland Studio,0.03,0.0,0.0,0.01,0.04,16,0,51
Unbox: Newbie's Adventure,2017.0,Action,Merge Games,0.03,0.0,0.0,0.01,0.04,79,0,729
Here They Lie,2016.0,Adventure,Sony Interactive Entertainment,0.0,0.03,0.0,0.01,0.04,113,2,290
Under Night In-Birth Exe:Latest,2017.0,Fighting,Arc System Works,0.01,0.0,0.03,0.0,0.04,11,3,736
Aragami,2016.0,Action,Maximum Games,0.03,0.0,0.0,0.01,0.04,77,0,27
Yonder: The Cloud Catcher Chronicles,2017.0,Action,CokeM Interactive,0.03,0.0,0.0,0.01,0.04,28,0,791
Assassin's Creed Chronicles: China,2015.0,Action-Adventure,Ubisoft,0.0,0.03,0.0,0.01,0.04,140,1,33
JoJo's Bizarre Adventure: Eyes of Heaven,2015.0,Fighting,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,86,3,311
Dungeons 3,2017.0,Strategy,Kalypso Media,0.03,0.0,0.0,0.01,0.04,67,15,195
Tour de France 2014,2014.0,Sports,Focus Home Interactive,0.0,0.03,0.0,0.01,0.04,45,14,715
Danganronpa Another Episode: Ultra Despair Girls,2017.0,Shooter,NIS America,0.03,0.0,0.01,0.01,0.04,85,12,127
Aegis of Earth: Protonovus Assault,2016.0,Action,PQube,0.03,0.01,0.0,0.01,0.04,95,0,9
Just Sing,2016.0,Music,Ubisoft,0.03,0.0,0.0,0.01,0.04,140,6,319
Wonder Boy: The Dragon's Trap (Remake),2018.0,Platform,Nicalis,0.03,0.0,0.0,0.01,0.04,87,8,775
Lumo,2016.0,Puzzle,Rising Star Games,0.03,0.0,0.0,0.01,0.04,106,9,364
ABZU,2017.0,Adventure,505 Games,0.03,0.0,0.0,0.01,0.04,3,2,3
Shadow Tactics: Blades of the Shogun,2017.0,Strategy,Kalypso Media,0.02,0.01,0.0,0.01,0.04,67,15,574
Darkest Dungeon,2018.0,Role-Playing,Merge Games,0.02,0.0,0.01,0.01,0.04,79,11,131
R.B.I. Baseball 2017,2017.0,Sports,MLB.com,0.03,0.0,0.0,0.01,0.04,75,14,508
Punch Line,2015.0,Adventure,5pb,0.03,0.0,0.0,0.01,0.04,4,2,499
